X,Y,Name,description,Longitude__X_,Latitude__Y_
-70.3325,-18.4803,Arica,Longitude (X): -70.3325<br>Latitude (Y): -18.4803,-70.3325,-18.4803
-73.66552,-37.59498,El Faro,Longitude (X): -73.66552<br>Latitude (Y): -37.59498,-73.66552,-37.59498
-71.37734,-30.07209,El Muro,Longitude (X): -71.37734<br>Latitude (Y): -30.07209,-71.37734,-30.07209
-72.8159,-36.18083,La Rinconada,Longitude (X): -72.8159<br>Latitude (Y): -36.18083,-72.8159,-36.18083
-72.009,-34.3838,Pichilemu,Longitude (X): -72.009<br>Latitude (Y): -34.3838,-72.009,-34.3838
-71.47713,-30.22174,Playa Blanca,Longitude (X): -71.47713<br>Latitude (Y): -30.22174,-71.47713,-30.22174
-72.04051,-34.42697,Punta de Lobos,Longitude (X): -72.04051<br>Latitude (Y): -34.42697,-72.04051,-34.42697
-73.4843,-38.2445,Punta Quidico,Longitude (X): -73.4843<br>Latitude (Y): -38.2445,-73.4843,-38.2445
-85.7987,10.85389,Ollie's Point,Longitude (X): -85.7987<br>Latitude (Y): 10.85389,-85.7987,10.85389
-85.83921,10.31234,Playa Grande,Longitude (X): -85.83921<br>Latitude (Y): 10.31234,-85.83921,10.31234
-85.851642,10.287569,Playa Langosta,Longitude (X): -85.851642<br>Latitude (Y): 10.287569,-85.851642,10.287569
-85.67822,10.79619,Witches Rock,Longitude (X): -85.67822<br>Latitude (Y): 10.79619,-85.67822,10.79619
-85.84086,10.301843,Playa Tamarindo,Longitude (X): -85.84086<br>Latitude (Y): 10.301843,-85.84086,10.301843
-85.837362,10.227484,Playa Avellanes,Longitude (X): -85.837362<br>Latitude (Y): 10.227484,-85.837362,10.227484
-85.83033,10.195,Playa Negra,Longitude (X): -85.83033<br>Latitude (Y): 10.195,-85.83033,10.195
-85.81341,10.16848,Playa Junquillal,Longitude (X): -85.81341<br>Latitude (Y): 10.16848,-85.81341,10.16848
-85.44368,9.8624,Playa Camaronal,Longitude (X): -85.44368<br>Latitude (Y): 9.8624,-85.44368,9.8624
-85.66231,9.92962,Playa Guiones,Longitude (X): -85.66231<br>Latitude (Y): 9.92962,-85.66231,9.92962
-85.7688,10.06813,Playa Marbella,Longitude (X): -85.7688<br>Latitude (Y): 10.06813,-85.7688,10.06813
-85.68631,9.97617,Playa Nosara,Longitude (X): -85.68631<br>Latitude (Y): 9.97617,-85.68631,9.97617
-85.70216,9.99512,Playa Ostional,Longitude (X): -85.70216<br>Latitude (Y): 9.99512,-85.70216,9.99512
-85.67686,9.95902,Playa Pelada,Longitude (X): -85.67686<br>Latitude (Y): 9.95902,-85.67686,9.95902
-85.17731,9.64973,Playa Carmen,Longitude (X): -85.17731<br>Latitude (Y): 9.64973,-85.17731,9.64973
-85.15521,9.6293,Playa Santa Teresa,Longitude (X): -85.15521<br>Latitude (Y): 9.6293,-85.15521,9.6293
-84.28503,9.48238,Bejuco,Longitude (X): -84.28503<br>Latitude (Y): 9.48238,-84.28503,9.48238
-84.73784,9.96086,Boca Barranca,Longitude (X): -84.73784<br>Latitude (Y): 9.96086,-84.73784,9.96086
-84.72491,9.91314,Caldera,Longitude (X): -84.72491<br>Latitude (Y): 9.91314,-84.72491,9.91314
-84.48897,9.52942,Esterillos,Longitude (X): -84.48897<br>Latitude (Y): 9.52942,-84.48897,9.52942
-84.6722,9.6604,Playa Escondida,Longitude (X): -84.6722<br>Latitude (Y): 9.6604,-84.6722,9.6604
-84.60291,9.57458,Playa Hermosa,Longitude (X): -84.60291<br>Latitude (Y): 9.57458,-84.60291,9.57458
-84.63154,9.61426,Playa Jaco,Longitude (X): -84.63154<br>Latitude (Y): 9.61426,-84.63154,9.61426
-84.70536,9.87409,Playa Tivives,Longitude (X): -84.70536<br>Latitude (Y): 9.87409,-84.70536,9.87409
-84.6982,9.86574,Playa Valor,Longitude (X): -84.6982<br>Latitude (Y): 9.86574,-84.6982,9.86574
-84.6246,9.5909,Roca Loca,Longitude (X): -84.6246<br>Latitude (Y): 9.5909,-84.6246,9.5909
-84.2164,9.45784,Boca Damas,Longitude (X): -84.2164<br>Latitude (Y): 9.45784,-84.2164,9.45784
-84.17019,9.42544,Quepos,Longitude (X): -84.17019<br>Latitude (Y): 9.42544,-84.17019,9.42544
-84.10747,9.37404,Playa El Rey,Longitude (X): -84.10747<br>Latitude (Y): 9.37404,-84.10747,9.37404
-84.16199,9.39701,Playitas,Longitude (X): -84.16199<br>Latitude (Y): 9.39701,-84.16199,9.39701
-84.15469,9.39465,Manuel Antonio,Longitude (X): -84.15469<br>Latitude (Y): 9.39465,-84.15469,9.39465
-83.86547,9.2519,Playa Dominical,Longitude (X): -83.86547<br>Latitude (Y): 9.2519,-83.86547,9.2519
-83.27907,8.38834,Pan Dulce,Longitude (X): -83.27907<br>Latitude (Y): 8.38834,-83.27907,8.38834
-83.27953,8.39287,Playa Matapalo,Longitude (X): -83.27953<br>Latitude (Y): 8.39287,-83.27953,8.39287
-83.13846,8.39339,Pavones,Longitude (X): -83.13846<br>Latitude (Y): 8.39339,-83.13846,8.39339
-83.14124,8.36094,Punta Banco,Longitude (X): -83.14124<br>Latitude (Y): 8.36094,-83.14124,8.36094
-82.91353,8.05418,Punta Burica,Longitude (X): -82.91353<br>Latitude (Y): 8.05418,-82.91353,8.05418
-82.84999,9.74201,Playa Negra,Longitude (X): -82.84999<br>Latitude (Y): 9.74201,-82.84999,9.74201
-83.01063,9.99413,Isla Uvita,Longitude (X): -83.01063<br>Latitude (Y): 9.99413,-83.01063,9.99413
-82.73745,9.6514,Playa Cocles,Longitude (X): -82.73745<br>Latitude (Y): 9.6514,-82.73745,9.6514
-82.75385,9.66051,Salsa Brava,Longitude (X): -82.75385<br>Latitude (Y): 9.66051,-82.75385,9.66051
-84.8806,21.8237,Cabo de San Antonio,Longitude (X): -84.8806<br>Latitude (Y): 21.8237,-84.8806,21.8237
-78.49029,22.524879,Cayo Coco,Longitude (X): -78.49029<br>Latitude (Y): 22.524879,-78.49029,22.524879
-76.13057,21.14985,Gibara,Longitude (X): -76.13057<br>Latitude (Y): 21.14985,-76.13057,21.14985
-82.440055,23.112918,La Setenta,Longitude (X): -82.440055<br>Latitude (Y): 23.112918,-82.440055,23.112918
-75.85882,19.96669,Playa Mar Verde,Longitude (X): -75.85882<br>Latitude (Y): 19.96669,-75.85882,19.96669
-82.15431,23.1716,Playas del Este,Longitude (X): -82.15431<br>Latitude (Y): 23.1716,-82.15431,23.1716
-81.17154,23.19325,Sun Beach,Longitude (X): -81.17154<br>Latitude (Y): 23.19325,-81.17154,23.19325
-74.34483,20.29468,Yumuri,Longitude (X): -74.34483<br>Latitude (Y): 20.29468,-74.34483,20.29468
8.22938,56.78117,Agger,Longitude (X): 8.22938<br>Latitude (Y): 56.78117,8.22938,56.78117
8.4413,57.01079,Bunkers,Longitude (X): 8.4413<br>Latitude (Y): 57.01079,8.4413,57.01079
12.3155,56.12459,Gilleleje Havn,Longitude (X): 12.3155<br>Latitude (Y): 56.12459,12.3155,56.12459
8.61875,57.12597,Hanstholm,Longitude (X): 8.61875<br>Latitude (Y): 57.12597,8.61875,57.12597
12.46759,56.093219,Hornbaek,Longitude (X): 12.46759<br>Latitude (Y): 56.093219,12.46759,56.093219
8.11321,56.00187,Hvide Sande,Longitude (X): 8.11321<br>Latitude (Y): 56.00187,8.11321,56.00187
8.49392,57.04353,Klitmøller,Longitude (X): 8.49392<br>Latitude (Y): 57.04353,8.49392,57.04353
9.70945,57.373719,Loekken,Longitude (X): 9.70945<br>Latitude (Y): 57.373719,9.70945,57.373719
8.36623,56.95898,Vorupør,Longitude (X): 8.36623<br>Latitude (Y): 56.95898,8.36623,56.95898
-70.41026,19.75081,Bozo,Longitude (X): -70.41026<br>Latitude (Y): 19.75081,-70.41026,19.75081
-70.4416,19.77924,Coco Pipe,Longitude (X): -70.4416<br>Latitude (Y): 19.77924,-70.4416,19.77924
-70.45835,19.78482,Destroyers,Longitude (X): -70.45835<br>Latitude (Y): 19.78482,-70.45835,19.78482
-69.99351,19.67908,El Barco,Longitude (X): -69.99351<br>Latitude (Y): 19.67908,-69.99351,19.67908
-70.01011,18.42233,El Chinchorro,Longitude (X): -70.01011<br>Latitude (Y): 18.42233,-70.01011,18.42233
-70.4456,19.78065,Encuentro,Longitude (X): -70.4456<br>Latitude (Y): 19.78065,-70.4456,19.78065
-69.63248,18.43256,La Boya,Longitude (X): -69.63248<br>Latitude (Y): 18.43256,-69.63248,18.43256
-70.69519,19.80468,La Puntilla,Longitude (X): -70.69519<br>Latitude (Y): 19.80468,-70.69519,19.80468
-71.18133,17.96001,Los Patos de Barahona,Longitude (X): -71.18133<br>Latitude (Y): 17.96001,-71.18133,17.96001
-71.06438,18.14304,Playa Bahoruco,Longitude (X): -71.06438<br>Latitude (Y): 18.14304,-71.06438,18.14304
-70.01538,19.67811,Playa Grande,Longitude (X): -70.01538<br>Latitude (Y): 19.67811,-70.01538,19.67811
-70.00296,19.67874,Preciosa,Longitude (X): -70.00296<br>Latitude (Y): 19.67874,-70.00296,19.67874
-70.526774,19.75257,Sosua,Longitude (X): -70.526774<br>Latitude (Y): 19.75257,-70.526774,19.75257
-89.37997,13.49223,La Bocana,Longitude (X): -89.37997<br>Latitude (Y): 13.49223,-89.37997,13.49223
-89.351,13.48498,Cocal,Longitude (X): -89.351<br>Latitude (Y): 13.48498,-89.351,13.48498
-89.34939,13.48609,Conchalio,Longitude (X): -89.34939<br>Latitude (Y): 13.48609,-89.34939,13.48609
-89.47386,13.49887,K59,Longitude (X): -89.47386<br>Latitude (Y): 13.49887,-89.47386,13.49887
-89.59808,13.51133,Mizata,Longitude (X): -89.59808<br>Latitude (Y): 13.51133,-89.59808,13.51133
-89.42174,13.49401,Palmarcito,Longitude (X): -89.42174<br>Latitude (Y): 13.49401,-89.42174,13.49401
-89.32705,13.48049,Punta Roca,Longitude (X): -89.32705<br>Latitude (Y): 13.48049,-89.32705,13.48049
-89.35834,13.48593,San Blas,Longitude (X): -89.35834<br>Latitude (Y): 13.48593,-89.35834,13.48593
-89.39176,13.49265,Sunzal,Longitude (X): -89.39176<br>Latitude (Y): 13.49265,-89.39176,13.49265
-89.43995,13.49447,Zonte,Longitude (X): -89.43995<br>Latitude (Y): 13.49447,-89.43995,13.49447
-1.713,43.4173,Belharra,Longitude (X): -1.713<br>Latitude (Y): 43.4173,-1.713,43.4173
-1.55892,43.48473,Biarritz,Longitude (X): -1.55892<br>Latitude (Y): 43.48473,-1.55892,43.48473
1.82815,50.96193,Calais,Longitude (X): 1.82815<br>Latitude (Y): 50.96193,1.82815,50.96193
3.03586,42.693,Canet Plage,Longitude (X): 3.03586<br>Latitude (Y): 42.693,3.03586,42.693
1.590659,50.870552,Cap Gris-Nez,Longitude (X): 1.590659<br>Latitude (Y): 50.870552,1.590659,50.870552
-1.44555,43.64491,Capbreton,Longitude (X): -1.44555<br>Latitude (Y): 43.64491,-1.44555,43.64491
3.97159,43.54157,Carnon,Longitude (X): 3.97159<br>Latitude (Y): 43.54157,3.97159,43.54157
-1.567094,43.477821,Côte des Basques,Longitude (X): -1.567094<br>Latitude (Y): 43.477821,-1.567094,43.477821
6.58402,43.27416,Galiote,Longitude (X): 6.58402<br>Latitude (Y): 43.27416,6.58402,43.27416
3.11265,43.0981,Gruissan,Longitude (X): 3.11265<br>Latitude (Y): 43.0981,3.11265,43.0981
-1.61923,43.42275,Guethary,Longitude (X): -1.61923<br>Latitude (Y): 43.42275,-1.61923,43.42275
-1.42908,46.34316,L'Embarcadère,Longitude (X): -1.42908<br>Latitude (Y): 46.34316,-1.42908,46.34316
-1.44203,43.66621,La Gravière,Longitude (X): -1.44203<br>Latitude (Y): 43.66621,-1.44203,43.66621
-1.44215,43.66512,La Nord,Longitude (X): -1.44215<br>Latitude (Y): 43.66512,-1.44215,43.66512
-1.44391,43.66019,La Sud,Longitude (X): -1.44391<br>Latitude (Y): 43.66019,-1.44391,43.66019
-4.34724,47.83773,La Torche,Longitude (X): -4.34724<br>Latitude (Y): 47.83773,-4.34724,47.83773
-1.2024,45.00266,Lacanau,Longitude (X): -1.2024<br>Latitude (Y): 45.00266,-1.2024,45.00266
-1.628,43.41412,Lafitenia,Longitude (X): -1.628<br>Latitude (Y): 43.41412,-1.628,43.41412
-1.52547,43.5228,Les Cavaliers,Longitude (X): -1.52547<br>Latitude (Y): 43.5228,-1.52547,43.5228
-1.43871,43.68004,Les Culs Nuls,Longitude (X): -1.43871<br>Latitude (Y): 43.68004,-1.43871,43.68004
-1.53781,43.50566,Les Sables d'Or,Longitude (X): -1.53781<br>Latitude (Y): 43.50566,-1.53781,43.50566
-1.53885,43.50398,Marinella,Longitude (X): -1.53885<br>Latitude (Y): 43.50398,-1.53885,43.50398
-1.60252,43.43053,Parlementia,Longitude (X): -1.60252<br>Latitude (Y): 43.43053,-1.60252,43.43053
-4.34754,47.83299,Porzcarn,Longitude (X): -4.34754<br>Latitude (Y): 47.83299,-4.34754,47.83299
7.19894,43.65586,St. Laurent du Var,Longitude (X): 7.19894<br>Latitude (Y): 43.65586,7.19894,43.65586
0.30857,49.73975,Yport,Longitude (X): 0.30857<br>Latitude (Y): 49.73975,0.30857,49.73975
7.3756,53.7316,Baltrum,Longitude (X): 7.3756<br>Latitude (Y): 53.7316,7.3756,53.7316
